Zona,Area,Qualidade,AnoConstrucao,QualidadeAquecimento,Banheiros,Quartos_t1,Quartos_t2,Comodos,Lareiras,Garagem,Preco,DecadaConstrucao,preco/m2,cluster
RL,9600,6,1976,Ex,2,3,4,6,1,2,181500,70,18.91,1
RM,1680,6,1971,TA,1,2,3,4,0,1,85400,70,50.83,4
RM,1974,4,1973,TA,1,3,4,6,0,1,83500,70,42.3,4
RL,7244,5,1970,Ex,1,2,3,5,0,2,129500,70,17.88,0
RL,4043,6,1977,TA,2,2,3,4,0,2,140000,70,34.63,3
RL,10012,4,1972,TA,2,3,4,6,0,2,137500,70,13.73,5
RL,9758,5,1971,TA,1,3,4,5,0,1,119500,70,12.25,0
RL,11880,7,1978,TA,2,3,4,7,1,2,157000,70,13.22,5
RL,10010,5,1974,Gd,1,2,3,6,1,2,170000,70,16.98,1
RL,7032,5,1979,TA,1,2,3,4,2,2,135960,70,19.33,0
RL,12384,7,1976,TA,2,3,4,7,1,2,197900,70,15.98,1
RL,10500,5,1971,TA,1,3,4,5,0,1,139000,70,13.24,5
RL,12735,4,1972,TA,1,3,4,5,0,2,111250,70,8.74,0
RL,11361,6,1976,TA,2,3,4,7,1,2,180000,70,15.84,1
RL,7990,5,1975,TA,1,3,4,5,0,1,110000,70,13.77,0
RM,1680,6,1971,TA,1,3,4,6,0,1,88000,70,52.38,4
RL,10395,6,1978,TA,2,3,4,6,1,2,148000,70,14.24,5
RM,1936,4,1970,Gd,1,1,2,3,0,0,84500,70,43.65,4
RL,11040,6,1971,Ex,2,3,4,5,0,2,145000,70,13.13,5
RL,7064,5,1977,TA,1,3,4,6,0,2,135000,70,19.11,0
RL,10530,6,1971,TA,1,3,4,5,0,2,143250,70,13.6,5
RM,2016,5,1970,TA,2,3,4,6,0,2,106000,70,52.58,4
RL,11250,6,1977,TA,1,3,4,6,1,2,165000,70,14.67,1
RM,1920,5,1971,Ex,1,2,3,6,0,2,122500,70,63.8,4
RL,12243,5,1971,Gd,2,3,4,7,1,2,175000,70,14.29,1
RM,1890,4,1972,Gd,1,1,2,3,0,0,81000,70,42.86,4
RL,13517,6,1976,Ex,2,3,4,6,0,2,130500,70,9.65,2
RL,9600,7,1973,Fa,1,3,4,6,1,2,175500,70,18.28,1
RL,7340,4,1971,TA,1,2,3,4,0,1,110000,70,14.99,0
RL,8430,5,1978,TA,2,3,4,5,0,0,124000,70,14.71,0
RL,9819,6,1977,TA,2,2,3,5,2,2,196000,70,19.96,1
RL,10628,7,1970,TA,1,2,3,5,1,2,167000,70,15.71,1
RL,11952,7,1977,TA,2,3,4,8,1,2,190000,70,15.9,1
RM,1526,4,1970,TA,1,1,2,3,0,1,86000,70,56.36,4
RL,10448,6,1972,TA,2,3,4,7,1,2,158000,70,15.12,5
RM,2665,5,1976,TA,1,3,4,4,1,1,115000,70,43.15,4
RM,1680,6,1972,Gd,1,3,4,7,0,1,118000,70,70.24,4
RM,1680,6,1972,Gd,1,2,3,5,0,1,118000,70,70.24,4
RM,1533,4,1970,TA,1,3,4,6,1,0,97000,70,63.27,4
RM,1477,4,1970,TA,1,1,2,3,0,1,80000,70,54.16,4
RM,1890,6,1973,TA,1,3,4,7,0,1,113000,70,59.79,4
RL,2308,6,1974,TA,2,3,4,6,1,2,147000,70,63.69,3
RL,2289,6,1978,TA,2,3,4,7,1,2,148500,70,64.88,3
RL,18800,6,1976,TA,2,3,4,6,1,2,190000,70,10.11,2
RL,10625,7,1974,TA,2,3,4,6,2,2,170000,70,16.0,1
RL,7180,5,1972,TA,1,3,4,5,0,1,127000,70,17.69,0
RM,1953,6,1973,TA,1,2,3,5,0,1,83000,70,42.5,4
RL,12537,5,1971,Ex,1,3,4,6,1,2,149900,70,11.96,2
RL,17043,6,1979,TA,2,3,4,7,1,2,181000,70,10.62,2
RL,4928,6,1976,TA,2,2,3,5,1,2,128000,70,25.97,3
RL,15523,5,1972,Ex,1,3,4,5,1,1,133500,70,8.6,2
RL,16647,5,1975,TA,2,3,4,6,2,2,171000,70,10.27,2
RL,9560,5,1972,Ex,1,3,4,5,0,1,128500,70,13.44,0
RL,10400,7,1970,Gd,2,3,4,7,1,2,174000,70,16.73,1
RL,10500,4,1971,TA,1,3,4,5,1,0,115000,70,10.95,0
RL,9650,6,1977,TA,2,2,3,6,1,2,167900,70,17.4,1
RM,2368,5,1970,TA,1,3,4,7,0,2,125000,70,52.79,4
RL,10356,5,1975,TA,1,3,4,5,0,2,122000,70,11.78,0
RL,10780,5,1976,Gd,1,3,4,6,0,2,132500,70,12.29,5
RM,1680,6,1973,TA,1,2,3,5,0,1,100000,70,59.52,4
RL,9360,6,1972,TA,1,3,4,5,1,2,197500,70,21.1,1
RL,7540,6,1978,Ex,1,2,3,5,1,2,156000,70,20.69,5
RL,2280,6,1976,TA,2,3,4,7,1,2,148500,70,65.13,3
RL,10125,6,1977,TA,2,3,4,6,2,2,171500,70,16.94,1
RL,7200,5,1972,Gd,1,2,3,5,0,1,133900,70,18.6,0
RL,8816,6,1971,Gd,1,3,4,6,0,2,155000,70,17.58,5
RL,9600,6,1976,Ex,2,3,4,7,1,2,187000,70,19.48,1
RL,11751,6,1977,Ex,2,3,4,7,1,2,190000,70,16.17,1
RL,10900,6,1977,Ex,1,3,4,6,0,1,161750,70,14.84,5
RL,8445,5,1972,TA,1,2,3,5,0,2,133000,70,15.75,0
RL,11184,6,1978,Gd,2,3,4,7,1,2,172500,70,15.42,1
RL,11241,6,1970,Ex,1,2,3,5,1,2,149000,70,13.26,5
RM,1533,5,1970,Ex,1,1,2,3,0,0,92000,70,60.01,4
RM,4224,5,1976,TA,1,3,4,6,1,2,129900,70,30.75,3
RL,11584,7,1979,TA,2,3,4,6,1,2,197000,70,17.01,1
RL,9000,4,1971,TA,1,3,4,5,0,2,120500,70,13.39,0
RL,9286,5,1977,TA,1,3,4,5,0,1,143500,70,15.45,5
RL,7000,5,1978,Ex,1,3,4,6,0,1,136500,70,19.5,0
RL,9200,5,1975,TA,1,3,4,5,0,1,130250,70,14.16,0
RL,17400,5,1977,Fa,2,3,4,5,1,2,160000,70,9.2,2
RL,4928,6,1976,TA,2,2,3,5,0,2,143750,70,29.17,3
RL,7200,5,1972,Ex,1,2,3,4,0,1,124900,70,17.35,0
RL,19900,7,1970,TA,2,3,4,7,1,2,180000,70,9.05,2
RL,8750,5,1970,TA,1,3,4,5,0,2,148500,70,16.97,5
RL,4043,6,1977,TA,2,2,3,4,1,2,127500,70,31.54,3
RM,1596,4,1973,TA,1,2,3,5,0,1,91000,70,57.02,4
RL,15611,5,1977,TA,2,3,4,6,0,2,175000,70,11.21,2
RL,10400,7,1976,TA,2,3,4,6,1,2,152000,70,14.62,5
RL,10970,6,1978,TA,1,3,4,5,0,2,147000,70,13.4,5
RL,2308,6,1976,TA,2,3,4,7,1,2,155000,70,67.16,3
RL,7950,6,1977,TA,1,3,4,6,0,2,159500,70,20.06,5
RL,7917,6,1976,TA,1,3,4,6,1,1,148000,70,18.69,5
RL,8471,6,1977,TA,1,3,4,6,1,2,151000,70,17.83,5
RL,7819,6,1976,TA,1,3,4,6,1,2,107000,70,13.68,0
RL,12155,6,1970,Gd,2,3,4,7,1,2,163500,70,13.45,2
RL,11333,6,1976,TA,1,3,4,5,2,2,146800,70,12.95,5
RM,2592,5,1976,TA,1,3,4,4,0,1,85000,70,32.79,4
RL,11616,6,1978,TA,2,3,4,6,1,2,158900,70,13.68,5
RL,9101,5,1978,Ex,1,1,2,4,1,2,165500,70,18.18,1
RL,8385,5,1977,TA,2,3,4,6,0,1,149900,70,17.88,5
RM,1680,6,1971,TA,1,2,3,5,0,1,89500,70,53.27,4
RL,11717,6,1970,TA,2,2,3,6,1,2,185000,70,15.79,1
RL,9800,5,1972,TA,1,3,4,5,0,2,149900,70,15.3,5
RL,10530,6,1977,TA,1,2,3,4,0,2,135000,70,12.82,5
RL,8125,4,1971,TA,1,3,4,5,0,0,88000,70,10.83,0
RL,13350,5,1974,TA,1,3,4,5,1,2,142500,70,10.67,2
RL,11900,7,1977,TA,2,3,4,6,1,2,82500,70,6.93,0
RL,8800,5,1977,TA,2,3,4,5,0,2,150500,70,17.1,5
RL,12936,6,1972,TA,1,3,4,6,1,2,162000,70,12.52,2
RL,10650,5,1976,TA,1,3,4,5,0,1,128200,70,12.04,0
RM,1680,6,1971,TA,1,3,4,7,0,0,91500,70,54.46,4
RM,2217,4,1970,TA,1,3,4,6,0,1,88000,70,39.69,4
RM,4224,5,1976,TA,1,3,4,6,1,2,134000,70,31.72,3
RL,11475,6,1975,TA,2,3,4,6,1,2,179900,70,15.68,1
RL,10500,4,1971,Gd,1,2,3,4,0,2,97000,70,9.24,0
RM,1869,6,1970,TA,1,2,3,5,0,1,106000,70,56.71,4
RM,1680,5,1971,TA,2,3,4,6,0,1,112000,70,66.67,4
RL,7892,6,1979,TA,2,2,3,5,1,1,99500,70,12.61,0
RM,1680,5,1972,TA,2,3,4,6,0,1,119500,70,71.13,4
RL,8197,6,1977,Ex,1,3,4,7,1,2,143500,70,17.51,5
RM,1680,6,1972,TA,1,2,3,5,1,1,94500,70,56.25,4
RL,12328,6,1976,TA,1,3,4,6,0,3,169900,70,13.78,2
RL,7930,6,1969,Gd,1,3,4,5,0,2,156000,60,19.67,5
RL,11000,5,1966,Ex,1,3,4,6,1,2,154000,60,14.0,5
RL,7150,5,1967,TA,1,3,4,5,0,1,100000,60,13.99,0
RL,10000,5,1961,Ex,1,3,4,6,1,1,131400,60,13.14,5
RL,11782,5,1961,TA,1,3,4,6,0,2,148000,60,12.56,5
RL,12886,5,1963,Ex,2,3,4,6,1,2,175000,60,13.58,2
RL,6970,4,1961,TA,1,3,4,5,0,2,129000,60,18.51,0
RL,9937,5,1964,Ex,1,3,4,7,0,2,167000,60,16.81,1
RL,8978,5,1968,TA,1,3,4,6,0,1,108000,60,12.03,0
RL,6173,5,1967,TA,1,3,4,6,0,1,125500,60,20.33,0
RL,8414,6,1963,TA,1,3,4,6,0,1,154500,60,18.36,5
RL,13400,5,1966,TA,1,3,4,6,1,2,159950,60,11.94,2
RL,10659,5,1961,TA,1,3,4,6,0,1,136500,60,12.81,5
RL,13560,6,1968,Gd,1,2,3,5,2,2,110000,60,8.11,0
RL,9300,5,1960,TA,1,3,4,6,2,2,167500,60,18.01,1
RL,9750,5,1967,Gd,2,3,4,6,0,1,135500,60,13.9,5
RL,9600,7,1969,TA,1,3,4,6,0,2,140000,60,14.58,5
RL,7420,5,1962,TA,1,3,4,6,0,2,132000,60,17.79,0
RL,8450,5,1965,Ex,1,3,4,5,1,1,138500,60,16.39,5
RL,10004,6,1964,TA,1,3,4,6,0,2,167000,60,16.69,1
RL,7875,5,1961,Gd,1,3,4,6,0,2,139950,60,17.77,5
RL,9945,5,1961,TA,1,3,4,5,0,2,128500,60,12.92,0
RL,9020,6,1966,TA,1,3,4,6,0,2,174900,60,19.39,1
RL,9200,6,1965,TA,1,3,4,5,1,1,140000,60,15.22,5
RL,8816,5,1963,TA,1,3,4,5,0,2,139000,60,15.77,5
RL,9920,5,1969,TA,1,3,4,5,1,1,128500,60,12.95,0
RL,12122,7,1961,Gd,1,3,4,6,0,2,178400,60,14.72,1
RL,9790,6,1967,TA,2,3,4,7,1,2,161500,60,16.5,5
RL,12095,6,1964,TA,1,3,4,7,1,2,158000,60,13.06,5
RL,9760,6,1964,Gd,2,3,4,7,1,2,187000,60,19.16,1
RL,7162,5,1966,TA,1,3,4,6,0,1,109900,60,15.34,0
RL,18450,6,1965,TA,2,3,4,7,1,2,129000,60,6.99,2
RL,9100,5,1965,Ex,1,2,3,5,0,1,117500,60,12.91,0
RL,6897,5,1962,Ex,1,3,4,6,0,1,127000,60,18.41,0
RL,11625,5,1965,Ex,1,3,4,6,0,2,131500,60,11.31,5
RL,6768,6,1961,Gd,1,3,4,5,0,1,142000,60,20.98,5
RL,6993,5,1961,TA,1,3,4,6,1,1,135000,60,19.31,0
RL,9020,6,1964,TA,1,3,4,6,0,2,168500,60,18.68,1
RL,9156,6,1968,Gd,2,3,4,7,1,2,185750,60,20.29,1
RL,8250,6,1964,Ex,1,3,4,6,0,2,145000,60,17.58,5
RL,8700,5,1963,Gd,2,3,4,6,0,2,155000,60,17.82,5
RL,8400,5,1968,Gd,1,3,4,5,0,1,138500,60,16.49,5
RL,8521,5,1967,TA,1,3,4,5,1,1,125000,60,14.67,0
RL,14112,5,1964,TA,1,3,4,6,1,2,180500,60,12.79,2
RL,9790,6,1963,TA,1,3,4,6,2,2,143000,60,14.61,5
RL,17871,6,1967,Fa,1,3,4,7,1,2,197900,60,11.07,2
RL,9350,6,1964,Ex,2,3,4,7,0,1,158000,60,16.9,5
RL,13526,5,1965,TA,1,3,4,5,0,1,137000,60,10.13,2
RL,19296,6,1962,TA,1,3,4,6,1,2,176000,60,9.12,2
RL,13673,5,1962,TA,1,3,4,8,1,1,143900,60,10.52,2
RL,15870,5,1969,Ex,1,3,4,6,0,1,138800,60,8.75,2
RL,9786,6,1962,TA,1,3,4,7,1,2,159000,60,16.25,5
RL,9819,5,1967,TA,1,3,4,5,0,1,122000,60,12.42,0
RL,9858,5,1968,TA,1,3,4,5,0,1,130000,60,13.19,0
RL,11700,6,1968,Gd,1,3,4,7,1,2,175000,60,14.96,1
RL,7728,5,1962,TA,1,3,4,6,0,2,132500,60,17.15,0
RL,8872,5,1965,Ex,1,2,3,5,0,2,147000,60,16.57,5
RL,11600,6,1960,TA,1,3,4,7,0,1,145250,60,12.52,5
RL,8250,5,1968,Ex,1,3,4,5,1,1,134000,60,16.24,0
RL,12493,4,1960,TA,1,3,4,6,1,1,141000,60,11.29,5
RL,10197,6,1961,TA,1,3,4,6,1,2,163000,60,15.99,5
RL,17600,6,1960,Ex,2,3,4,6,2,2,157500,60,8.95,2
RL,10175,6,1964,Gd,2,3,4,7,1,2,180500,60,17.74,1
RL,11200,5,1965,Ex,1,3,4,5,0,1,129500,60,11.56,5
RL,12968,5,1962,TA,1,2,3,4,0,1,144000,60,11.1,2
RL,10920,6,1960,TA,1,2,3,5,1,1,157000,60,14.38,5
RL,8246,5,1968,Ex,1,3,4,6,1,1,154000,60,18.68,5
RL,8400,6,1966,Gd,1,3,4,6,0,1,129000,60,15.36,0
RL,8544,5,1966,Gd,1,3,4,6,0,1,149350,60,17.48,5
RL,8658,6,1965,Ex,2,3,4,6,1,2,160000,60,18.48,5
RL,8400,6,1962,TA,1,3,4,7,1,2,174000,60,20.71,1
RL,7742,5,1966,Ex,1,3,4,6,0,1,127000,60,16.4,0
RL,11700,6,1968,Gd,2,3,4,7,1,2,179900,60,15.38,1
RL,10355,5,1967,TA,2,3,4,5,1,1,143000,60,13.81,5
RL,9204,5,1963,TA,1,3,4,6,0,1,124000,60,13.47,0
RL,8892,5,1960,Gd,1,3,4,6,0,2,126500,60,14.23,0
RL,8500,5,1961,TA,1,2,3,6,0,2,98600,60,11.6,0
RL,10921,4,1965,TA,1,3,4,6,0,1,94750,60,8.68,0
RL,7838,5,1967,TA,1,3,4,6,1,1,123000,60,15.69,0
RL,11616,5,1962,TA,1,3,4,6,1,1,139000,60,11.97,5
RL,7590,6,1966,TA,1,3,4,6,1,2,155000,60,20.42,5
RL,9477,5,1966,TA,1,3,4,5,0,1,110000,60,11.61,0
RL,10335,5,1968,Gd,2,3,4,7,1,2,180000,60,17.42,1
RL,12772,6,1960,TA,1,2,3,5,0,1,151500,60,11.86,2
RL,9750,6,1969,Gd,1,3,4,6,0,2,151000,60,15.49,5
RL,7800,5,1964,TA,1,2,3,5,0,1,115000,60,14.74,0
RL,7943,4,1961,Gd,1,3,4,5,0,1,118500,60,14.92,0
RL,9764,5,1967,Ex,1,3,4,5,0,2,130000,60,13.31,0
RL,9170,5,1965,Ex,1,2,3,6,0,2,140000,60,15.27,5
RL,11553,5,1968,TA,1,3,4,7,1,1,158000,60,13.68,5
RL,7094,5,1966,TA,1,3,4,5,0,1,125000,60,17.62,0
RL,7000,5,1960,Ex,1,2,3,6,0,1,135000,60,19.29,0
RL,7800,5,1967,Ex,1,3,4,5,0,1,130000,60,16.67,0
RL,7931,5,1960,TA,1,3,4,6,1,1,155000,60,19.54,5
RL,10289,5,1965,TA,1,3,4,6,0,2,156000,60,15.16,5
RL,9230,5,1965,Gd,1,1,2,6,0,2,146000,60,15.82,5
RL,7758,5,1962,Gd,1,3,4,6,0,1,132500,60,17.08,0
RL,11777,5,1966,Ex,1,3,4,6,2,2,164500,60,13.97,5
RL,16492,6,1966,Ex,2,2,3,6,1,2,190000,60,11.52,2
RL,14585,6,1960,Ex,1,3,4,7,2,2,181900,60,12.47,2
RL,8800,6,1964,TA,1,3,4,6,2,1,160000,60,18.18,5
RL,8480,5,1963,TA,1,2,3,5,0,2,132500,60,15.62,0
RL,9350,5,1965,Gd,2,3,4,6,1,2,179900,60,19.24,1
RL,10000,6,1962,TA,1,3,4,5,0,2,160000,60,16.0,5
RL,10205,5,1962,TA,1,3,4,6,0,1,134500,60,13.18,5
RL,9500,6,1963,Gd,1,3,4,6,2,2,159000,60,16.74,5
RL,9150,6,1962,Gd,1,3,4,6,1,1,165000,60,18.03,1
RL,7763,5,1962,TA,1,3,4,6,0,2,140000,60,18.03,5
RL,12342,5,1960,TA,1,3,4,6,1,1,139900,60,11.34,5
RL,11235,4,1963,Gd,1,3,4,6,1,2,148000,60,13.17,5
RL,7500,5,1963,Fa,1,3,4,5,0,1,133000,60,17.73,0
RL,8800,6,1963,Ex,1,3,4,6,0,2,137500,60,15.62,5
RL,8724,5,1968,Gd,1,3,4,5,1,2,129000,60,14.79,0
RL,8450,5,1968,Ex,1,3,4,6,1,1,142000,60,16.8,5
RL,9920,5,1954,TA,1,3,4,6,0,1,128000,50,12.9,0
RL,9600,6,1950,Ex,1,3,4,6,0,1,140000,50,14.58,5
RL,8923,5,1953,Gd,1,2,3,6,0,1,134500,50,15.07,5
RL,13125,5,1957,Ex,2,3,4,8,1,2,155000,50,11.81,2
RL,7200,5,1950,Gd,1,3,4,7,0,1,138000,50,19.17,0
RL,8712,5,1957,TA,1,2,3,5,0,1,153000,50,17.56,5
RL,7100,5,1957,TA,1,2,3,5,0,1,129900,50,18.3,0
RL,8910,6,1959,Ex,1,3,4,6,1,2,159500,50,17.9,5
RL,11029,6,1958,Ex,1,3,4,6,1,2,176500,50,16.0,1
RL,9600,6,1955,Gd,1,3,4,8,1,1,165500,50,17.24,1
RL,5868,5,1956,Ex,1,2,3,4,0,1,129000,50,21.98,0
RM,7407,6,1957,TA,1,2,3,6,0,2,149700,50,20.21,5
RL,9503,5,1958,TA,1,2,3,6,1,1,144000,50,15.15,5
RL,10721,6,1959,Ex,1,3,4,7,0,2,142000,50,13.25,5
RL,10152,5,1956,TA,1,3,4,6,0,1,135000,50,13.3,5
RL,17140,4,1956,Ex,1,3,4,6,0,1,135000,50,7.88,2
RL,14375,6,1958,Gd,1,3,4,7,1,2,137500,50,9.57,2
RL,10215,4,1954,Ex,1,3,4,5,0,1,111000,50,10.87,0
RL,5400,5,1954,Ex,1,2,3,4,0,1,117000,50,21.67,0
RL,13825,5,1958,TA,1,3,4,6,0,1,140000,50,10.13,2
RL,10482,6,1958,Ex,1,3,4,6,0,1,145000,50,13.83,5
