District;Area;Quality;Year;HeatingQuality;Bathrooms;Bedrooms_A;Bedrooms_B;Rooms;Fireplace;Garage;Price
RL;10000;6;1962;TA;1;3;4;5;0;2;160000
RL;12342;5;1960;TA;1;3;4;6;1;1;139900
RL;9600;6;1955;Ex;1;3;4;7;2;1;153000
RL;9020;6;1964;TA;1;3;4;6;0;2;168500
RL;11900;7;1977;TA;2;3;4;6;1;2;82500
RL;9250;5;1954;TA;1;3;4;6;0;1;139400
RL;10530;6;1971;TA;1;3;4;5;0;2;143250
RL;7200;5;1950;Gd;1;3;4;7;0;2;98300
RL;10452;6;1953;Ex;1;3;4;5;2;2;155000
RM;1936;4;1970;Gd;1;1;2;3;0;0;84500
RL;8750;7;1996;Ex;2;2;3;7;1;2;191000
RM;1680;6;1971;TA;1;3;4;6;0;1;88000
RL;10007;5;1959;Ex;1;3;4;5;0;1;145500
RL;17503;6;1948;TA;1;3;4;6;1;1;97500
RL;9937;5;1964;Ex;1;3;4;7;0;2;167000
RL;12384;7;1976;TA;2;3;4;7;1;2;197900
RL;13560;6;1968;Gd;1;2;3;5;2;2;110000
RL;10012;4;1972;TA;2;3;4;6;0;2;137500
RL;18450;6;1965;TA;2;3;4;7;1;2;129000
RL;8125;6;1994;Ex;2;3;4;7;1;2;193500
RL;14175;5;1956;Gd;1;3;4;6;1;2;168000
RL;8633;6;2005;Ex;2;3;4;7;0;2;173500
RL;11250;6;1977;TA;1;3;4;6;1;2;165000
RL;9200;6;1965;TA;1;3;4;5;1;1;140000
RL;2289;6;1978;TA;2;3;4;7;1;2;148500
RL;9945;5;1961;TA;1;3;4;5;0;2;128500
RL;8012;6;1980;TA;2;2;3;5;1;1;143000
RL;2887;6;1996;Ex;1;2;3;6;1;2;173000
RL;7577;6;2005;Ex;2;2;3;6;1;2;194700
RM;4426;6;2004;Ex;1;1;2;3;1;2;141000
RL;13811;6;1987;Gd;2;2;3;5;1;2;176000
RL;6420;5;1952;Fa;1;2;3;6;0;1;123500
RL;8450;5;1965;Ex;1;3;4;5;1;1;138500
RL;9600;7;1969;TA;1;3;4;6;0;2;140000
RL;8500;7;2004;Ex;2;3;4;7;0;2;179600
RL;8400;6;1966;Gd;1;3;4;6;0;1;129000
RM;1533;5;1970;Ex;1;1;2;3;0;0;92000
RM;3675;5;2005;Gd;1;2;3;5;0;2;145000
RL;7917;6;1999;Ex;2;3;4;7;1;2;175000
RL;9717;5;1950;Gd;1;2;3;5;0;1;142125
RL;14115;5;1993;Ex;1;1;2;5;0;2;143000
RL;8658;6;1965;Ex;2;3;4;6;1;2;160000
RL;16905;5;1959;Gd;1;2;3;5;2;1;170000
RL;9180;5;1983;Gd;1;2;3;5;0;2;144000
RL;9200;5;1975;TA;1;3;4;5;0;1;130250
RL;7945;5;1959;Ex;1;3;4;6;0;1;141000
RL;7742;5;1966;Ex;1;3;4;6;0;1;127000
RL;13869;6;1997;Gd;2;3;4;6;0;2;177000
RL;7134;5;1955;TA;1;3;4;6;1;2;130000
RL;10175;6;1964;Gd;2;3;4;7;1;2;180500
RL;11645;7;2004;Ex;2;3;4;7;0;2;196500
RL;7200;5;1972;Ex;1;2;3;4;0;1;124900
RL;13072;6;2004;Ex;1;3;4;5;0;2;158000
RL;19900;7;1970;TA;2;3;4;7;1;2;180000
RM;4608;4;1945;TA;1;2;3;4;0;1;80000
RL;7599;4;1982;TA;1;2;3;4;0;2;129500
RL;10141;7;1998;Gd;2;3;4;7;1;2;185000
RL;10200;5;1954;Gd;1;3;4;6;0;2;144900
RM;1596;4;1973;TA;1;2;3;5;0;1;91000
RL;8475;4;1956;Ex;1;2;3;4;0;1;135750
RM;8635;5;1948;TA;1;2;3;6;0;1;127000
RM;4500;6;1998;Ex;2;2;3;5;0;2;153500
RL;8892;5;1960;Gd;1;3;4;6;0;2;126500
RL;8530;7;1995;Gd;2;3;4;7;1;2;168500
RL;11911;6;2005;Ex;2;3;4;6;1;2;174000
RL;8070;4;1994;Ex;1;3;4;5;0;0;123600
RL;7200;4;1950;TA;1;2;3;4;0;2;109900
RL;8500;5;1961;TA;1;2;3;6;0;2;98600
RL;9765;6;1993;Gd;2;3;4;6;1;2;185000
RL;10921;4;1965;TA;1;3;4;6;0;1;94750
RL;9320;4;1959;Fa;1;3;4;6;0;0;128950
RL;9206;6;1985;TA;2;3;4;7;1;2;178000
RL;10402;7;2009;Ex;2;3;4;6;0;3;198900
RM;6000;5;1948;Ex;1;2;3;5;0;1;115000
RL;11751;6;1977;Ex;2;3;4;7;1;2;190000
RL;7750;7;2000;Ex;2;3;4;7;1;2;180000
RL;11616;5;1962;TA;1;3;4;6;1;1;139000
RL;8536;5;2006;Gd;1;2;3;5;0;2;155000
RL;8461;6;2005;Ex;2;3;4;8;1;2;163990
RL;9464;6;1958;Gd;1;3;4;5;0;1;136000
RL;7892;6;1993;Ex;2;2;3;5;0;2;153900
RL;17043;6;1979;TA;2;3;4;7;1;2;181000
RL;4928;6;1976;TA;2;2;3;5;1;2;128000
RL;7590;6;1966;TA;1;3;4;6;1;2;155000
RL;8973;5;1958;TA;1;3;4;6;0;2;150000
RL;7388;5;1959;Gd;1;3;4;7;0;2;150750
RL;10335;5;1968;Gd;2;3;4;7;1;2;180000
RL;10400;7;1970;Gd;2;3;4;7;1;2;174000
RL;10355;5;1967;TA;2;3;4;5;1;1;143000
RL;10500;4;1971;TA;1;3;4;5;1;0;115000
RM;2522;6;2004;Ex;2;3;4;7;0;2;130000
RL;7500;7;2004;Ex;1;3;4;6;0;0;141000
RL;10356;5;1975;TA;1;3;4;5;0;2;122000
RL;7200;5;1950;TA;1;2;3;5;0;2;109500
RL;11120;6;1984;TA;2;3;4;6;0;2;162500
RL;5500;4;1956;Ex;1;1;2;4;0;0;103200
RL;8244;7;2004;Ex;2;3;4;7;1;2;183500
RL;9018;7;2007;Ex;2;3;4;8;1;2;179540
RL;7162;5;1966;TA;1;3;4;6;0;1;109900
RL;4671;8;1988;Gd;2;2;3;5;1;2;189000
RL;13517;6;1976;Ex;2;3;4;6;0;2;130500
RL;10140;6;1974;TA;2;3;4;7;1;2;165000
RL;10000;5;1973;Gd;1;3;4;5;1;2;157000
RL;9920;5;1969;TA;1;3;4;5;1;1;128500
RM;4426;6;2004;Ex;1;1;2;3;0;2;143000
RL;8120;4;1970;Ex;1;3;4;5;0;2;124500
RL;6960;4;1970;TA;1;3;4;5;0;2;120500
RL;7314;7;2007;Ex;2;2;3;6;0;2;194500
RL;9590;7;2003;Ex;2;3;4;6;1;2;187500
RL;10000;5;1961;Ex;1;3;4;6;1;1;131400
RL;8978;5;1968;TA;1;3;4;6;0;1;108000
RL;9313;7;2004;Ex;2;3;4;7;0;2;190000
RL;6768;6;1961;Gd;1;3;4;5;0;1;142000
RL;8450;7;2000;Ex;2;3;4;6;0;2;179000
RL;12886;5;1963;Ex;2;3;4;6;1;2;175000
RL;5395;8;1993;Gd;2;2;3;5;1;2;180000
RL;7750;7;2003;Ex;2;3;4;6;0;2;162000
RL;7930;6;1969;Gd;1;3;4;5;0;2;156000
RL;11616;6;1978;TA;2;3;4;6;1;2;158900
RL;9100;6;1959;Ex;1;2;3;5;0;1;127500
RL;10421;7;1988;TA;2;3;4;7;1;2;196500
RL;7252;5;1982;TA;1;2;3;5;0;2;134900
RL;8877;4;1951;TA;1;2;3;6;0;2;102000
RL;7819;6;1976;TA;1;3;4;6;1;2;107000
RL;10150;5;1958;Ex;1;2;3;5;0;1;114500
RM;4500;6;1998;Ex;2;2;3;5;0;2;162000
RL;13350;5;1974;TA;1;3;4;5;1;2;142500
RL;7500;6;1942;Fa;1;3;4;7;2;1;177500
RM;3363;7;2004;Ex;2;3;4;7;0;2;130000
RL;8072;5;1994;Ex;1;3;4;5;0;2;138000
RM;12000;5;1948;Ex;1;2;3;6;0;2;147000
RL;7153;6;1991;Gd;2;3;4;6;0;2;179200
RL;8190;4;1954;Ex;1;3;4;5;1;1;119000
RL;10215;4;1954;Ex;1;3;4;5;0;1;111000
RL;8400;6;1957;Gd;1;3;4;6;2;2;156500
RL;10186;7;1992;Ex;2;3;4;8;1;2;190000
RL;5330;4;1940;Gd;1;2;3;5;0;0;82500
RL;9986;8;2006;Ex;2;2;3;7;1;3;147000
RL;6600;5;1982;Ex;1;3;4;5;1;1;130500
RL;9084;7;1998;Gd;2;3;4;8;1;2;176500
RL;10780;5;1976;Gd;1;3;4;6;0;2;132500
RM;2368;5;1970;TA;1;3;4;7;0;2;125000
RL;9650;6;1977;TA;2;2;3;6;1;2;167900
RL;13450;7;2002;Ex;2;3;4;8;0;2;200000
RL;9560;5;1972;Ex;1;3;4;5;0;1;128500
RL;13695;6;2003;Ex;1;3;4;6;0;2;155000
RL;11103;7;2006;Ex;2;3;4;8;1;2;155835
RL;9477;5;1966;TA;1;3;4;5;0;1;110000
RL;12537;5;1971;Ex;1;3;4;6;1;2;149900
RL;8499;6;2006;Ex;2;3;4;6;1;2;156932
RL;9179;7;1999;Ex;2;3;4;7;0;2;193000
RM;4435;6;2003;Ex;1;1;2;4;0;2;144000
RL;9600;6;1955;Gd;1;3;4;8;1;1;165500
RL;10998;5;1941;Ex;2;3;4;6;0;2;117000
RM;1953;6;1973;TA;1;2;3;5;0;1;83000
RL;9735;5;2006;Gd;2;3;4;7;0;2;167500
RM;6000;6;1941;Ex;1;3;4;6;1;2;131000
RL;7838;5;1967;TA;1;3;4;6;1;1;123000
RL;7200;5;1950;Gd;1;3;4;7;0;1;138000
RL;7415;6;2004;Ex;2;3;4;8;1;2;193000
RL;6762;7;2006;Ex;2;2;3;6;1;2;193879
RL;8445;5;1972;TA;1;2;3;5;0;2;133000
RL;8780;5;1985;Ex;1;3;4;5;0;0;112000
RL;9600;6;1950;Ex;1;3;4;6;0;1;140000
RL;3635;7;2007;Ex;2;1;2;7;1;3;175900
RL;9204;5;1963;TA;1;3;4;6;0;1;124000
RL;11700;6;1968;Gd;2;3;4;7;1;2;179900
RL;4043;6;1977;TA;2;2;3;4;1;2;127500
RM;4435;6;2003;Ex;1;1;2;3;0;2;136500
RL;9503;5;1958;TA;1;2;3;6;1;1;144000
RL;10721;6;1959;Ex;1;3;4;7;0;2;142000
RL;10930;5;1945;TA;1;3;4;6;1;1;140000
RM;7200;5;1940;TA;1;2;3;4;2;1;119000
RL;12546;6;1981;Ex;2;3;4;7;1;2;182900
RL;4928;6;1976;TA;2;2;3;5;0;2;143750
RL;10261;6;2000;Ex;2;3;4;8;1;2;186500
RL;17400;5;1977;Fa;2;3;4;5;1;2;160000
RL;8400;6;1962;TA;1;3;4;7;1;2;174000
RL;9000;4;1971;TA;1;3;4;5;0;2;120500
RM;7407;6;1957;TA;1;2;3;6;0;2;149700
RL;11584;7;1979;TA;2;3;4;6;1;2;197000
RM;4426;6;2004;Ex;1;1;2;3;1;2;149300
RL;9600;6;1976;Ex;2;3;4;6;1;2;181500
RM;12358;5;1941;TA;1;2;3;7;0;2;128500
RL;10197;6;1961;TA;1;3;4;6;1;2;163000
RL;12416;6;1986;TA;2;3;4;7;1;2;184000
RL;9060;5;1957;Ex;1;3;4;7;1;1;120000
RM;11426;7;2003;Ex;2;3;4;6;0;2;200000
RL;9947;7;1990;Ex;2;3;4;6;0;2;173000
RL;9017;7;1999;Ex;2;3;4;6;0;2;192000
RM;2522;7;2004;Ex;2;3;4;7;0;2;130000
RL;7180;5;1972;TA;1;3;4;5;0;1;127000
RL;2280;6;1976;TA;2;3;4;7;1;2;148500
RM;8546;4;2003;Ex;2;2;3;5;0;2;140000
RL;10125;6;1977;TA;2;3;4;6;2;2;171500
RM;4438;6;2004;Ex;1;1;2;3;1;2;149000
RM;3500;5;1947;TA;1;2;3;5;0;1;110000
RL;11851;7;1990;Ex;2;3;4;5;0;2;180500
RL;13673;5;1962;TA;1;3;4;8;1;1;143900
RL;12493;4;1960;TA;1;3;4;6;1;1;141000
RL;8250;6;1964;Ex;1;3;4;6;0;2;145000
RL;10420;6;2009;Ex;2;3;4;6;0;2;186000
RL;13568;5;1995;Ex;1;3;4;5;0;2;156000
RL;10900;6;1977;Ex;1;3;4;6;0;1;161750
RL;10011;5;1957;TA;1;2;3;6;1;1;134450
RL;3010;7;2005;Ex;2;2;3;5;0;2;167240
RL;11475;6;1975;TA;2;3;4;6;1;2;179900
RL;10500;4;1971;Gd;1;2;3;4;0;2;97000
RM;1680;5;1971;TA;2;3;4;6;0;1;112000
RM;1869;6;1970;TA;1;2;3;5;0;1;106000
RL;8521;5;1967;TA;1;3;4;5;1;1;125000
RL;3182;7;2005;Ex;2;2;3;7;1;2;192500
RL;8760;6;1959;TA;1;3;4;6;0;1;148000
RM;1680;6;1972;TA;1;2;3;5;1;1;94500
RL;10650;5;1976;TA;1;3;4;5;0;1;128200
RM;1680;6;1971;TA;1;2;3;5;0;1;89500
RL;8773;7;2004;Ex;2;3;4;6;0;2;185500
RL;9453;7;1993;Ex;2;3;4;7;0;2;194500
RL;8741;6;1945;TA;1;3;4;7;1;1;113000
RM;3880;5;1945;Gd;1;2;3;4;0;0;110500
RL;10762;6;1980;TA;1;3;4;6;1;1;120000
RL;11310;6;1954;Ex;1;2;3;5;1;2;140000
RL;11317;7;2003;Ex;2;3;4;8;0;2;180000
RL;8366;6;2004;Ex;2;3;4;6;0;2;173000
RL;9350;6;1964;Ex;2;3;4;7;0;1;158000
RL;8400;5;1957;TA;1;3;4;5;0;1;145000
RM;12702;5;1956;Gd;1;2;3;4;0;1;97000
RL;19296;6;1962;TA;1;3;4;6;1;2;176000
RL;8471;6;1977;TA;1;3;4;6;1;2;151000
RL;12090;6;1981;TA;2;3;4;7;1;2;175500
RL;11207;6;1997;Gd;2;3;4;8;1;2;185000
RM;6900;5;1940;Ex;1;2;3;4;1;1;120500
RL;7917;6;1976;TA;1;3;4;6;1;1;148000
RL;9600;6;1958;Gd;2;3;4;6;1;1;139000
RL;8314;5;1982;TA;1;2;3;5;0;1;124500
RL;19138;4;1951;Ex;1;2;3;4;0;2;141000
RL;8012;6;1992;Gd;2;2;3;5;0;2;179200
RL;9786;6;1962;TA;1;3;4;7;1;2;159000
RL;8125;4;1971;TA;1;3;4;5;0;0;88000
RL;9819;5;1967;TA;1;3;4;5;0;1;122000
RL;11409;5;1949;Gd;1;3;4;8;1;1;131000
RL;9600;6;1953;TA;1;3;4;7;2;2;167000
RL;7937;6;1984;TA;1;3;4;6;0;2;142500
RL;11700;6;1968;Gd;1;3;4;7;1;2;175000
RL;14000;6;1950;Ex;1;3;4;6;1;1;158500
RL;15750;5;1953;TA;1;2;3;5;2;1;157000
RL;9800;5;1972;TA;1;3;4;5;0;2;149900
RL;12342;4;1940;Ex;1;1;2;4;0;2;82500
RL;7685;6;1993;Gd;2;3;4;6;1;2;165600
RL;8000;6;1948;Ex;1;2;3;5;1;1;132000
RL;7795;7;2004;Ex;2;3;4;6;1;2;188500
RL;14115;7;1980;TA;2;3;4;6;2;2;187500
RL;11600;6;1960;TA;1;3;4;7;0;1;145250
RL;8176;5;1958;Fa;1;3;4;6;0;1;139000
RL;9042;6;1998;Gd;2;3;4;7;2;2;192000
RL;12400;6;1958;TA;1;3;4;6;0;1;155000
RM;2592;5;1976;TA;1;3;4;4;0;1;85000
RL;12772;6;1960;TA;1;2;3;5;0;1;151500
RL;17600;6;1960;Ex;2;3;4;6;2;2;157500
RL;2448;7;2003;Ex;2;2;3;6;0;2;154000
RL;5271;7;1986;Gd;1;2;3;6;1;2;190000
RL;8400;6;1940;Ex;1;2;3;6;2;1;140000
RL;11249;6;1995;Ex;2;3;4;6;0;2;177500
RL;9248;6;1992;Gd;2;3;4;6;0;2;173000
RM;4224;5;1976;TA;1;3;4;6;1;2;134000
RL;6930;5;1958;Ex;1;3;4;6;0;1;130000
RL;7540;6;1978;Ex;1;2;3;5;1;2;156000
RL;9144;5;1940;Gd;1;3;4;8;0;1;145000
RM;1680;6;1972;Gd;1;2;3;5;0;1;118000
RL;18800;6;1976;TA;2;3;4;6;1;2;190000
RL;9500;6;1963;Gd;1;3;4;6;2;2;159000
RL;9150;6;1962;Gd;1;3;4;6;1;1;165000
RL;7800;5;1954;Gd;1;2;3;7;1;1;132000
RL;9830;5;1959;Ex;1;3;4;7;1;2;162000
RL;8121;6;2000;Ex;2;3;4;7;1;2;172400
RL;7175;6;1984;TA;1;2;3;4;0;1;125000
RL;10634;5;1953;TA;1;3;4;5;0;1;123000
RL;8846;5;1996;Ex;1;2;3;5;0;2;148000
RL;8123;6;2000;Ex;2;3;4;7;1;2;179000
RL;3182;8;2004;Ex;2;2;3;6;1;2;192000
RL;7200;6;1976;Ex;1;3;4;6;1;1;125000
RL;9382;7;1999;Ex;2;3;4;6;0;2;191000
RL;8339;5;1959;TA;1;3;4;5;0;1;106500
RL;7446;4;1941;TA;1;2;3;4;2;0;100000
RL;10134;5;1940;Gd;1;2;3;5;0;1;109000
RL;9571;5;1956;TA;1;3;4;6;0;1;129000
RL;7200;5;1972;TA;1;2;3;6;0;2;123000
RL;8767;7;2005;Ex;2;3;4;6;1;2;164990
RL;10200;5;1940;Ex;1;2;3;4;0;1;108000
RL;10364;6;1995;Gd;2;3;4;7;1;2;168000
RL;9991;4;1976;Ex;2;3;4;8;1;2;150000
RL;8899;7;2007;Ex;2;3;4;6;0;2;181134
RL;7844;6;1978;TA;1;3;4;6;1;2;149500
RL;8450;5;1968;Ex;1;3;4;6;1;1;142000
RL;9000;6;1956;Gd;1;2;3;6;1;1;139000
RM;3378;7;1946;Gd;1;3;4;6;2;1;135000
RL;8593;4;1957;Ex;1;3;4;5;0;1;109008
RL;6762;7;2007;Ex;2;2;3;6;0;2;195400
RL;11457;6;1988;TA;2;3;4;6;1;2;175000
RM;1680;6;1971;TA;1;2;3;4;0;1;85400
RL;3182;7;2005;Ex;2;1;2;7;1;2;181000
RL;8385;5;1977;TA;2;3;4;6;0;1;149900
RL;12155;6;1970;Gd;2;3;4;7;1;2;163500
RM;2217;4;1970;TA;1;3;4;6;0;1;88000
RL;11664;6;1948;TA;1;2;3;5;1;1;119200
RL;5814;8;1984;Gd;1;1;2;4;1;2;187500
RL;10784;7;1991;Gd;2;3;4;7;1;2;160000
RL;7024;4;2005;Ex;1;2;3;5;0;2;176000
RL;7406;7;2006;Ex;2;2;3;6;0;2;194000
RL;3182;7;2005;Ex;2;2;3;7;1;2;191000
RL;7700;5;1972;TA;1;3;4;5;0;2;112500
RL;9300;5;1960;TA;1;3;4;6;2;2;167500
RL;9492;5;1941;TA;1;3;4;6;1;1;105000
RM;1680;6;1972;Gd;1;3;4;7;0;1;118000
RM;1533;4;1970;TA;1;3;4;6;1;0;97000
RM;1477;4;1970;TA;1;1;2;3;0;1;80000
RL;13125;5;1957;Ex;2;3;4;8;1;2;155000
RL;5381;6;2005;Ex;2;1;2;5;1;2;196000
RL;9245;5;1994;Ex;1;3;4;5;0;2;145000
RL;11100;4;1946;Ex;1;2;3;6;0;1;84900
RL;8993;7;2007;Ex;2;3;4;6;0;2;176485
RL;11361;6;1976;TA;2;3;4;7;1;2;180000
RL;7052;7;2005;Ex;2;2;3;6;1;2;185850
RL;11000;5;1966;Ex;1;3;4;6;1;2;154000
RL;7837;6;1993;Gd;2;3;4;7;1;2;178000
RL;9600;5;1949;TA;1;2;3;4;0;2;135000
RL;10152;5;1956;TA;1;3;4;6;0;1;135000
RL;7950;6;1977;TA;1;3;4;6;0;2;159500
RL;8556;7;2006;Ex;2;2;3;5;0;3;194000
RL;15870;5;1969;Ex;1;3;4;6;0;1;138800
RM;4435;6;2004;Ex;1;1;2;3;1;2;155900
RL;8775;5;1994;Gd;1;3;4;5;0;1;126000
RL;11040;6;1971;Ex;2;3;4;5;0;2;145000
RL;7500;5;1963;Fa;1;3;4;5;0;1;133000
RL;8749;7;2002;Ex;2;3;4;6;1;2;192000
RL;8800;6;1964;TA;1;3;4;6;2;1;160000
RL;13031;6;1995;Gd;2;3;4;6;1;2;187500
RL;9069;6;1992;Ex;1;2;3;5;0;2;147000
RM;1974;4;1973;TA;1;3;4;6;0;1;83500
RM;2522;7;2004;Ex;2;3;4;7;0;2;137500
RL;9230;5;1965;Gd;1;1;2;6;0;2;146000
RL;5868;5;1956;Ex;1;2;3;4;0;1;129000
RL;9317;6;2006;Gd;2;3;4;6;1;2;176432
RL;3696;8;1986;Ex;1;2;3;5;0;2;170000
RL;11880;7;1978;TA;2;3;4;7;1;2;157000
RL;9758;5;1971;TA;1;3;4;5;0;1;119500
RL;7000;5;1960;Ex;1;2;3;6;0;1;135000
RL;8910;6;1959;Ex;1;3;4;6;1;2;159500
RM;2016;5;1970;TA;2;3;4;6;0;2;106000
RL;10357;7;1990;Gd;2;3;4;6;1;2;179900
RL;8063;6;2000;Ex;2;3;4;7;1;2;181000
RL;8000;6;1995;Gd;2;3;4;8;1;2;188000
RL;7100;5;1957;TA;1;2;3;5;0;1;129900
RL;8923;5;1953;Gd;1;2;3;6;0;1;134500
RL;5400;5;1954;Ex;1;2;3;4;0;1;117000
RL;7750;8;2002;Ex;2;3;4;7;1;2;184100
RL;9764;5;1967;Ex;1;3;4;5;0;2;130000
RL;13825;5;1958;TA;1;3;4;6;0;1;140000
RL;7560;5;1959;TA;1;3;4;6;0;1;133700
RL;8926;4;1956;Ex;1;3;4;5;0;1;112000
RL;9405;5;1947;Ex;1;2;3;4;0;0;118000
RL;9125;7;1992;Gd;2;3;4;7;1;2;163900
RL;10434;4;1955;TA;1;2;3;5;1;2;115000
RL;3684;7;2007;Ex;2;2;3;7;1;3;174000
RM;7200;5;1980;TA;1;2;3;4;0;2;140000
RL;8773;6;1997;Gd;2;3;4;7;1;2;169000
RL;9600;6;1950;TA;1;3;4;6;0;1;119000
RL;9819;6;1977;TA;2;2;3;5;2;2;196000
RL;7350;5;1951;TA;1;2;3;4;0;2;139000
RL;9000;5;1959;TA;1;3;4;5;0;0;80000
RL;11200;6;1985;TA;2;3;4;5;1;2;180000
RL;12000;7;1941;Ex;1;3;4;7;1;1;174500
RL;8280;6;1950;Ex;1;2;3;4;1;1;124000
RL;17755;5;1959;TA;1;3;4;6;2;2;149900
RL;9350;5;1965;Gd;2;3;4;6;1;2;179900
RL;2280;6;1978;Fa;2;3;4;7;1;2;146000
RL;8724;5;1968;Gd;1;3;4;5;1;2;129000
RL;16157;5;1978;Ex;1;2;3;5;1;2;194000
RL;10852;6;2000;Ex;2;3;4;7;1;2;173000
RL;9120;6;1958;Ex;1;3;4;6;1;2;163000
RL;6951;5;1984;TA;1;3;4;5;0;1;119500
RL;8335;5;1954;Gd;1;3;4;5;1;0;93000
RL;8935;7;2002;Ex;2;3;4;7;0;2;195000
RL;7500;7;1999;Gd;2;3;4;7;1;2;189000
RM;4500;6;1999;Ex;2;2;3;5;0;2;165000
RL;8029;6;2005;Ex;2;3;4;8;0;2;176000
RL;9100;7;2001;Ex;2;3;4;6;0;2;178000
RL;11235;4;1963;Gd;1;3;4;6;1;2;148000
RL;9353;4;1970;Gd;1;3;4;5;0;1;116050
RL;10400;7;1998;Ex;2;3;4;6;0;2;197900
